chromosome_name	X4	X5	X7	X1	Accession	V_2	Geomean
X2	3092846	3193952	-	NC_041750.1	XP_028908913	CTNNA1	0.74301914988353
X1	107844488	107848405	+	NC_041749.1	XP_028905767	MICOS13	1.12979592025246
14	47568503	47576107	-	NC_041741.1	XP_001516880	NDUFA6	1.64816240731177
15	3986497	4003233	+	NC_041742.1	XP_028935717	PSMD12	0.879022509672339
9	39470483	39508267	-	NC_041736.1	XP_028927891	PPP1CB	0.543250334118012
1	132469034	132481578	+	NC_041728.1	XP_028922518	PSMD2	0.787045785497226
1	148773969	148847940	-	NC_041728.1	XP_028920785	KNG1	0.928966390047282
X4	1324134	1329025	+	NC_041752.1	XP_028910352	COPS7A	0.527229875022595
X2	24750401	24769929	+	NC_041750.1	XP_028909042	GMPR	0.859013522210845
X2	27469903	27480638	+	NC_041750.1	XP_028908966	ALDH5A1	1.06905487176953
21	22130430	22133903	-	NC_041748.1	XP_028905055	LOC100088975	1.76603781464638
18	14767482	14777534	-	NC_041745.1	XP_028902482	CCT7	0.883079898245682
11	25116839	25134275	+	NC_041738.1	XP_001507642	DNAJA2	1.39958731320292
17	35022120	35193674	+	NC_041744.1	XP_028938693	ALCAM	1.12201845121725
17	956228	971417	-	NC_041744.1	XP_028938102	EIF4H	1.01859137031533
17	12113080	12119217	-	NC_041744.1	XP_028937647	PTRH2	0.630957340467563
13	23318593	23335999	-	NC_041740.1	XP_028934239	LOC100681441	0.995405426621923
13	690545	701805	+	NC_041740.1	XP_028934038	GARS1	0.866961870592421
11	56962515	56966540	-	NC_041738.1	XP_028931992	SDHD	0.881048875014705
10	59270108	59277251	-	NC_041737.1	XP_028929842	DCTN2	0.986279496674316
10	54702534	54710912	-	NC_041737.1	XP_028928514	PRKAG1	0.926829830265306
9	37835674	37869907	-	NC_041736.1	XP_028927976	EHD3	0.75857756738549
8	69251689	69281422	+	NC_041735.1	XP_028926909	PDK4	1.04472022978693
5	63084196	63090558	+	NC_041732.1	XP_028922583	HSPB7	3.49945163283568
1	90691929	90732085	+	NC_041728.1	XP_028921368	DDX1	0.924698177362501
5	8539710	8573671	-	NC_041732.1	XP_028921353	ANP32A	0.961612283008328
5	3439716	3441103	+	NC_041732.1	XP_028920209	LOC114811991	1.34896286235874
4	94516437	94544869	+	NC_041731.1	XP_028918854	GCLM	0.690239802719515
3	18793609	18828848	-	NC_041730.1	XP_028917448	DTX4	1.16949939605079
3	94660912	94702306	-	NC_041730.1	XP_028915411	GLUD1	0.779830120325425
3	367214	371867	-	NC_041730.1	XP_028915009	NDUFS8	1.04472022831175
X5	1323618	1330174	+	NC_041753.1	XP_028911676	ILF2	0.685488232569152
X5	33267552	33326657	+	NC_041753.1	XP_028911275	LOC103164785	1.08392691200109
X5	7513464	7518025	-	NC_041753.1	XP_028911247	PFN1	0.912010836513803
X4	1982488	1991592	+	NC_041752.1	XP_028910348	HEBP1	0.682338688412216
X2	5561836	5571195	-	NC_041750.1	XP_028908761	HNRNPH1	1.11686326363911
X2	29559580	29574705	-	NC_041750.1	XP_028908585	LOC100076899	1.14815361536002
X1	88624119	88821311	-	NC_041749.1	XP_028906898	MGLL	0.864967927427951
20	30061216	30070466	-	NC_041747.1	XP_028904381	SERPINH1	1.01157944873845
18	10159374	10177438	-	NC_041745.1	XP_028902565	DDX3X	1.11173174580211
4	36997145	37014843	-	NC_041731.1	XP_001521644	SURF4	0.977237219495005
14	35327817	35361129	-	NC_041741.1	XP_001509819	LTA4H	0.756832904098193
16	2941281	2950844	+	NC_041743.1	XP_028937369	MGST3	0.639734828266561
14	52352511	52358829	-	NC_041741.1	XP_028934898	TSPO	0.829850773637123
1	39375557	39444591	+	NC_041728.1	XP_028929669	FLVCR2	0.7030723159177
10	32168233	32178072	-	NC_041737.1	XP_028929626	FAHD2A	0.924698186697032
10	57277777	57294489	+	NC_041737.1	XP_028929580	PCBP2	1.18032062426958
10	58991787	59000765	-	NC_041737.1	XP_028929444	NACA	1.23594745003539
5	123892	128663	+	NC_041732.1	XP_028921182	FXYD1	1.52405271730269
4	51653133	51714645	+	NC_041731.1	XP_028918460	CPNE3	1.05196186740286
3	4318218	4325331	+	NC_041730.1	XP_028917040	RNH1	1.46892632649214
3	21086064	21107044	+	NC_041730.1	XP_028917009	MTCH2	0.997700049275357
X5	5850757	5858231	+	NC_041753.1	XP_028910938	TRIP6	0.812830496126697
X5	8369208	8380000	+	NC_041753.1	XP_028910857	FLOT1	0.816582383455481
X2	7599947	7607187	-	NC_041750.1	XP_028909276	PGLS	0.372391700410169
2	104334761	104351553	-	NC_041729.1	XP_028907935	PLN	1.06169557604489
X1	44546929	44574602	-	NC_041749.1	XP_028907566	SAR1B	1.39958734296899
21	15712375	15715990	-	NC_041748.1	XP_028905272	LOC114806146	0.972747222120274
20	8216159	8230126	+	NC_041747.1	XP_028903616	SPRYD7	0.503500613103615
X1	104132560	104152656	-	NC_041749.1	XP_007669099	OGN	0.486407208034716
11	33409328	33418604	-	NC_041738.1	XP_001520801	NUDT21	0.71779429294082
6	11261105	11265994	-	NC_041733.1	XP_001511200	TIMM8A	0.937562018322529
X5	40995963	41004379	-	NC_041753.1	XP_001509068	LOC100076650	0.946237149653466
X1	19452604	19465396	-	NC_041749.1	XP_028906188	NPM1	1.12719748080262
15	15493358	15514508	+	NC_041742.1	XP_028935569	APOO	0.941889602374278
X5	3067980	3073486	-	NC_041753.1	XP_028911034	TAGLN2	0.862978529756165
X5	22323715	22341419	-	NC_041753.1	XP_001507352	LOC100075907	0.839460000680206
13	37235579	37244875	-	NC_041740.1	XP_007663936	LOC100075816	0.787045778794107
16	42725962	42743988	+	NC_041743.1	XP_028936467	CAP1	0.587489355238994
3	88117021	88208622	-	NC_041730.1	XP_028916054	HK1	1.0327614125947
16	3916485	3937630	+	NC_041743.1	XP_028936881	ATP1B1	0.881048870412426
3	71776498	71799210	-	NC_041730.1	XP_028916358	NARS1	0.613761995836703
5	3399665	3406126	+	NC_041732.1	XP_028920313	TIMM50	0.950604799812473
X5	6872944	6879785	-	NC_041753.1	XP_028912138	EIF4A1	1.12201848758319
1	63807989	63818769	-	NC_041728.1	XP_003428267	ATP5MJ	1.32739445495139
11	48549358	49294329	-	NC_041738.1	XP_028930687	CDH13	1.16412602274965
1	52866661	52872192	-	NC_041728.1	XP_007658719	NDUFB1	1.09144032412533
5	79050015	79098586	+	NC_041732.1	XP_028920707	CDC42	0.972747221473015
20	29488601	29492320	+	NC_041747.1	XP_028903569	LOC114805804	1.02093949869384
1	184228309	184237740	+	NC_041728.1	XP_028936677	DBI	1.03752842777156
11	5511	25885	-	NC_041738.1	XP_028930619	ATG3	1.01391138597255
4	22384596	22388734	+	NC_041731.1	XP_028919022	IDH3B	0.939723331335433
13	32694662	32711588	+	NC_041740.1	XP_028933585	PHYH	0.707945792365905
12	54516385	54530066	-	NC_041739.1	XP_028932858	NUDT9	1.19674053191929
16	36815065	36821527	+	NC_041743.1	XP_028937362	NDUFB8	1.26182755949978
19	700686	702905	-	NC_041746.1	XP_028903535	EXOC8	0.779830108693108
X5	1814721	1818318	+	NC_041753.1	XP_028911439	S100A11	1.16949941108086
10	58794001	58795701	+	NC_041737.1	XP_028929483	COQ10A	1.24738353050257
4	32982304	33018801	+	NC_041731.1	XP_007660523	PTPA	1.02801630687868
14	33900844	33907414	-	NC_041741.1	XP_028935082	UBE2N	0.849180456085208
1	144718366	144732220	+	NC_041728.1	XP_028915616	NDUFB5	0.891250956591453
17	17297540	17303468	+	NC_041744.1	XP_028938756	SOD1	1.06905487537056
X3	19951569	19984571	-	NC_041751.1	XP_028909540	ECI2	1.11173175905835
18	27670380	27708783	+	NC_041745.1	XP_001510515	SMYD1	1.01859136511229
8	18530270	18561007	+	NC_041735.1	XP_028926194	ARFGAP1	0.509330870404872
X2	19421246	19520417	-	NC_041750.1	XP_028908919	LOC100083401	0.642687724576061
17	5660951	5671814	-	NC_041744.1	XP_007668099	SERPINF2	0.70145530566133
2	6159047	6166875	-	NC_041729.1	XP_028914146	RPLP0	0.787045791299543
8	36123421	36130454	-	NC_041735.1	XP_007664325	RPSA	0.849180474799975
7	6373834	6502359	+	NC_041734.1	XP_028925720	ASPH	0.995405416577926
21	1578144	1601587	-	NC_041748.1	XP_028904586	TGM2	1.33352140494995
12	51555215	51709310	-	NC_041739.1	XP_028932755	LOC100081375	1.18032062151186
17	287895	303656	-	NC_041744.1	XP_028938292	NIPSNAP2	1.0690549027802
7	12663865	12669533	-	NC_041734.1	XP_007665609	PPDPFL	0.981747935329936
13	42019402	42022299	+	NC_041740.1	XP_028933251	LOC114815971	1.14024979317095
11	59634411	59650872	+	NC_041738.1	XP_028930750	PDK2	1.27643878720198
17	6335523	6345917	-	NC_041744.1	XP_001506927	GLOD4	1.25314117306372
13	2386332	2477372	-	NC_041740.1	XP_028933499	MAP4	1.08392691941136
15	528380	536228	+	NC_041742.1	XP_028935832	AHCY	1.15345326435515
X5	15433077	15475587	-	NC_041753.1	XP_001507345	REEP5	1.16949937267639
7	59853148	59857847	+	NC_041734.1	XP_028924046	NDUFB7	0.986279494402215
8	8248609	8283156	-	NC_041735.1	XP_028926062	UBE2V1	0.903649487968936
X4	2585459	2840894	-	NC_041752.1	XP_028910116	ERC1	1.02329296870949
6	18969884	19012034	-	NC_041733.1	XP_028923456	PLXNA3	1.06659614523937
16	28744978	28813661	+	NC_041743.1	XP_028937122	LOC100082714	0.366437574360171
11	37615409	37624443	-	NC_041738.1	XP_001509220	TAT	0.984011113512783
3	30145521	30212988	-	NC_041730.1	XP_028915919	PDHX	1.16680963002327
4	98496966	98530067	-	NC_041731.1	XP_028918856	LRRC8C	0.335737613182049
18	41948961	41989787	-	NC_041745.1	XP_007657881	EFCAB7	1.03752842197202
11	60077153	60090423	-	NC_041738.1	XP_028931721	UBTF	1.36144469178734
3	17776320	17790655	-	NC_041730.1	XP_028916759	TMEM132A	0.363078061843445
5	100103013	100112870	-	NC_041732.1	XP_028922275	TGIF1	0.897428804370977
6	22566678	22575843	+	NC_041733.1	XP_028923744	USP11	1.11943788927715
3	9478831	9547621	+	NC_041730.1	XP_028915590	PLEKHA7	0.935405669161595
12	10529676	10548796	+	NC_041739.1	XP_028932582	CBR4	2.09893987284296
17	12039832	12110716	+	NC_041744.1	XP_028938580	CLTC	0.916220504284386
3	113860938	113926988	-	NC_041730.1	XP_028916418	ANXA11	1.02801630859904
17	6324167	6331606	-	NC_041744.1	XP_028938724	LOC100075469	0.526017268367905
X5	6115762	6119470	-	NC_041753.1	XP_028911811	LOC100090636	0.785235638820266
4	1391623	1503724	-	NC_041731.1	XP_028919673	KHDRBS3	1.64058975722127
10	52665085	52669198	-	NC_041737.1	XP_028930134	RPS9	1.08642561710948
2	37289330	37401148	+	NC_041729.1	XP_028910671	TNRC18	0.603948626001777
9	13574043	13645244	+	NC_041736.1	XP_028927585	LOC100077291	0.79250133280725
2	6090991	6154690	-	NC_041729.1	XP_028907383	GCN1	1.07894673552175
19	8043628	8088276	+	NC_041746.1	XP_028902954	EPRS1	1.0046157824644
X2	4280188	4302190	+	NC_041750.1	XP_028908963	FAM193B	1.04712854036114
5	62878773	62899569	+	NC_041732.1	XP_028920421	ARHGEF19	0.835603016142299
20	12009386	12012001	+	NC_041747.1	XP_028904097	SOX1	0.662216504355534
X2	16826353	16830990	-	NC_041750.1	XP_028908700	GLYCTK	0.847227401976441
16	39093668	39160761	-	NC_041743.1	XP_028936211	THRAP3	0.642687715507145
16	2246074	2249967	-	NC_041743.1	XP_028937267	LOC114817473	1.07894671920312
17	36326442	36354196	-	NC_041744.1	XP_028938419	CIP2A	0.487528488949147
7	42416530	42448459	+	NC_041734.1	XP_028924285	LOC100082873	1.18576873927175
12	19308029	19317178	-	NC_041739.1	XP_007670002	FGB	1.13240037974965
14	880332	888908	+	NC_041741.1	XP_028934674	TRMT5	1.4454397546085
12	46858496	46906515	+	NC_041739.1	XP_028932912	BDH2	0.584790093486782
16	2952656	2965122	-	NC_041743.1	XP_028936735	ALDH9A1	1.06169556577703
