chromosome_name	X4	X5	X7	X1	Accession	V_2	Geomean
12	902703	918717	-	NC_041739.1	XP_028932599	LOC100090407	1.09900583781742
3	24646223	24743778	-	NC_041730.1	XP_028916679	HSD17B12	0.997700093176232
X2	1005391	1016010	-	NC_041750.1	XP_028908763	CTSB	0.674528017268668
11	53791105	53795600	+	NC_041738.1	XP_028931786	SLC37A4	0.719448975689928
4	89099775	89157915	-	NC_041731.1	XP_028918748	AGL	0.866961875190982
X1	88624119	88821311	-	NC_041749.1	XP_028906898	MGLL	0.625172692797657
4	62472588	62484043	-	NC_041731.1	XP_007661832	LOC100074669	0.650129698494403
14	17444794	17460303	+	NC_041741.1	XP_028934475	CCT2	0.669884613944261
10	55766366	55783232	-	NC_041737.1	XP_028929488	METTL7A	1.07646522845813
4	32717247	32736856	-	NC_041731.1	XP_028917858	KYAT1	0.924698179823485
4	32962730	32977232	-	NC_041731.1	XP_028918959	CRAT	0.623734832218313
16	42725962	42743988	+	NC_041743.1	XP_028936467	CAP1	0.693425807314975
2	47898079	47904405	+	NC_041729.1	XP_003428321	RPS15A	2.91071707817733
4	36974322	36980741	+	NC_041731.1	XP_003428779	RPL7A	0.931107873811099
14	47584626	47596067	-	NC_041741.1	XP_028934976	LOC100086809	0.709577775692712
11	36307650	36330848	+	NC_041738.1	XP_007670151	AARS1	1.0864256458755
5	4887273	4895883	+	NC_041732.1	XP_028922197	PPP2R1A	0.356451137022572
18	10159374	10177438	-	NC_041745.1	XP_028902565	DDX3X	0.857037856218654
X1	4042995	4064690	-	NC_041749.1	XP_007671078	ALLC	1.11943788278314
18	7521974	7552140	-	NC_041745.1	XP_028938900	CBS	0.636795530195813
10	57277777	57294489	+	NC_041737.1	XP_028929580	PCBP2	0.719448968834684
3	76632833	76673813	-	NC_041730.1	XP_028915761	AGXT2	0.691830961429839
11	2774353	2795541	-	NC_041738.1	XP_028931349	STT3A	1.20781384240921
14	46721500	46743583	-	NC_041741.1	XP_028935214	ST13	1.44877182259854
13	33246570	33279743	-	NC_041740.1	XP_028933578	DHTKD1	0.824138124156576
4	63230668	63246075	-	NC_041731.1	XP_007668124	PABPC1	1.05925374016727
8	14197638	14204392	-	NC_041735.1	XP_028926092	CTSZ	0.540754319928363
20	2482828	2488659	-	NC_041747.1	XP_001519575	URAD	0.988553082034699
9	53539050	53548952	+	NC_041736.1	XP_028928242	CCT4	1.15877734509193
X1	36252402	36286536	+	NC_041749.1	XP_003430552	SFXN1	1.1481536038034
14	45603719	45614948	-	NC_041741.1	XP_016082091	RPL3	1.53461696008838
16	42838006	42844146	+	NC_041743.1	XP_001512081	RPL11	1.13762730815389
4	63423650	63454246	-	NC_041731.1	XP_001509087	YWHAZ	1.11686325842227
X5	563438	570295	+	NC_041753.1	XP_028911580	PKLR	0.682338696254395
17	6543046	6562670	+	NC_041744.1	XP_028938378	ALDH3A2	1.00693169832313
2	77405127	77437480	-	NC_041729.1	XP_028905880	IYD	1.08642563442926
X1	113954887	113970290	-	NC_041749.1	XP_028906186	FKBP8	0.826037939767052
X5	52551596	52572291	+	NC_041753.1	XP_028911424	AK3	1.03276140102782
5	2895211	2969072	+	NC_041732.1	XP_028920606	ACTN4	0.555904259514371
6	47233926	47247688	-	NC_041733.1	XP_028923668	AIFM1	0.926829822991068
X5	6176080	6191057	+	NC_041753.1	XP_028912056	FIS1	1.2078138371829
9	29490883	29550535	-	NC_041736.1	XP_028927482	ACSS1	0.422668610783119
X1	90012712	90067620	+	NC_041749.1	XP_028907314	RAB7A	0.755092231581891
11	53800292	53802769	+	NC_041738.1	XP_001511033	RPS25	0.770903475786048
1	61807718	61817590	-	NC_041728.1	XP_028920427	HSP90AA1	1.3001695673792
3	3540535	3549465	-	NC_041730.1	XP_028915263	RPLP2	0.912010837261914
8	5319991	5340034	-	NC_041735.1	XP_028926393	YWHAB	0.555904254131364
18	27711528	27718603	-	NC_041745.1	XP_028939293	FABP1	1.38995263495243
3	459737	466576	-	NC_041730.1	XP_028917126	NDUFV1	0.957194078243716
17	6335523	6345917	-	NC_041744.1	XP_001506927	GLOD4	0.916220488715694
13	690545	701805	+	NC_041740.1	XP_028934038	GARS1	1.57761124862327
2	27107910	27118976	+	NC_041729.1	XP_028914617	LOC100083865	1.0839269338514
16	984928	997196	-	NC_041743.1	XP_028936928	PDZK1	0.413999671821101
20	19027663	19045847	-	NC_041747.1	XP_028904204	ACAT1	0.779830106972761
X1	70212641	70345527	-	NC_041749.1	XP_028905785	FLNB	1.08642559981265
1	21270501	21285821	+	NC_041728.1	XP_028915410	DHFR	0.816582366500002
X1	14122227	14168402	+	NC_041749.1	XP_016084146	LOC100078272	0.885115600219415
11	56029435	56033930	-	NC_041738.1	XP_001511609	NNMT	0.797994708630143
16	19196636	19252178	+	NC_041743.1	XP_028936347	ACADSB	0.941889587664447
X2	16826353	16830990	-	NC_041750.1	XP_028908700	GLYCTK	0.785235654350254
X3	7626471	7652407	+	NC_041751.1	XP_028909954	SRD5A1	0.712853044145895
9	61229620	61295405	+	NC_041736.1	XP_028927435	LRPPRC	1.21898960928466
X3	9203558	9213059	+	NC_041751.1	XP_001515199	CCT5	0.630957345324044
X1	88987792	89005376	+	NC_041749.1	XP_007666503	SEC61A1	0.582103226879376
8	36862701	36872421	-	NC_041735.1	XP_028926260	CTNNB1	0.58479008383768
15	13765264	13810541	-	NC_041742.1	XP_028935455	GK	1.41905752487487
X5	1323618	1330174	+	NC_041753.1	XP_028911676	ILF2	0.776247099312849
9	47879125	47927827	+	NC_041736.1	XP_007670288	HAO1	1.61064563573363
3	4318218	4325331	+	NC_041730.1	XP_028917040	RNH1	0.756832902832576
X1	115221356	115230405	+	NC_041749.1	XP_028907656	NDUFA13	1.45211159612594
X1	75295316	75327602	+	NC_041749.1	XP_028906993	TKT	0.881048877543263
X5	8381263	8386381	-	NC_041753.1	XP_016080824	TUBB	0.899497578582924
5	3840742	3842518	-	NC_041732.1	XP_007659067	APOC2	1.06905488956254
10	52665085	52669198	-	NC_041737.1	XP_028930134	RPS9	1.01624868598909
X3	31426658	31428806	-	NC_041751.1	XP_001514349	ATP5ME	1.14287832760227
10	53115174	53119885	-	NC_041737.1	XP_028928507	RPS11	1.70608240349466
11	54155211	54165206	-	NC_041738.1	XP_001513712	ATP5MG	2.76694167710428
5	14730334	14775270	+	NC_041732.1	XP_028922189	FAH	0.671428861040116
X5	3561253	3568132	-	NC_041753.1	XP_028911692	LOC114808143	1.06905488371332
X4	1418018	1424898	+	NC_041752.1	XP_028910138	USP5	0.874983784868047
10	58796019	58803156	-	NC_041737.1	XP_028929482	CS	0.801678051521312
X1	4119119	4127694	-	NC_041749.1	XP_028907805	RPS7	0.914113240878529
6	35171028	35199285	-	NC_041733.1	XP_028923333	LAMP2	0.968277863431812
3	65081648	65088046	-	NC_041730.1	XP_003429123	RPL17	1.23026875795937
X5	63455829	63459026	-	NC_041753.1	XP_007666420	RPL8	1.16949938808367
2	25924967	25926967	+	NC_041729.1	XP_001507377	LOC100087358	1.19124204559154
X3	33859394	33863139	-	NC_041751.1	XP_028909662	RPS18	1.25602998573086
11	19408895	19416414	+	NC_041738.1	XP_028930751	THYN1	0.990831929487519
2	36359703	36364471	+	NC_041729.1	XP_028908713	ATP5MF	0.879022517358967
2	92626151	92632386	-	NC_041729.1	XP_001506584	RPS12	1.22179968909862
4	51653133	51714645	+	NC_041731.1	XP_028918460	CPNE3	0.484172367897149
17	9263421	9268526	-	NC_041744.1	XP_028938432	RPL23A	1.23594743025818
18	39412343	39431830	-	NC_041745.1	XP_007671409	LAP3	0.912010837625649
16	39843472	39854568	+	NC_041743.1	XP_028936074	SFPQ	0.879022523290542
7	82348898	82390951	+	NC_041734.1	XP_028924994	HIBCH	0.895364770029537
X2	804466	809595	+	NC_041750.1	XP_028909053	RPS6	0.984011117888434
11	35358009	35384805	-	NC_041738.1	XP_028930769	GOT2	0.948418468323522
10	58673963	58678343	+	NC_041737.1	XP_028928812	PA2G4	1.33045442671263
10	48759131	48963115	-	NC_041737.1	XP_028929180	CHCHD3	0.89125095194331
X2	5597844	5631425	+	NC_041750.1	XP_028908321	CANX	1.98152700531221
2	38236480	38270294	-	NC_041729.1	XP_028914667	LOC100089880	0.726105962608598
11	60108228	60135345	-	NC_041738.1	XP_028930328	SLC4A1	0.753355575675492
15	1181733	1183794	+	NC_041742.1	XP_028935407	NME1	1.29419587747825
3	21137561	21147140	-	NC_041730.1	XP_007664746	NDUFS3	1.29717927307004
3	9281868	9286627	+	NC_041730.1	XP_001510702	RPS13	1.03514217981602
X1	79460547	79510830	+	NC_041749.1	XP_028906324	ACAD9	0.8912509270512
X2	3725344	3734765	-	NC_041750.1	XP_028908206	CLTB	1.3427649666501
17	251738	262799	-	NC_041744.1	XP_028938184	CCT6A	0.891250938804938
1	101922734	101994154	+	NC_041728.1	XP_028928280	LOC107547261	0.517606834424961
12	53391052	53442183	-	NC_041739.1	XP_028932615	ANXA5	0.843334773054871
4	95508564	95518500	-	NC_041731.1	XP_001515074	RPL5	0.979489982586529
X5	70990	75189	+	NC_041753.1	XP_028910577	HDGF	0.95940064189381
X3	22196847	22217589	-	NC_041751.1	XP_028909724	SSR1	0.457088187399838
3	40387127	40409915	+	NC_041730.1	XP_028917382	LOC103166619	1.69433780664029
2	64662538	64673752	+	NC_041729.1	XP_028909951	TCP1	0.591561620517819
4	32505664	32573649	+	NC_041731.1	XP_028918347	SPTAN1	0.974989642834035
10	59270108	59277251	-	NC_041737.1	XP_028929842	DCTN2	0.933254302294487
18	15180582	15188698	-	NC_041745.1	XP_028938783	SPR	0.937562016930394
1	164999279	165040290	+	NC_041728.1	XP_028913721	TF	2.81190083666619
4	25019437	25023685	+	NC_041731.1	XP_001515188	RPL12	1.04954241355522
9	15476759	15540474	-	NC_041736.1	XP_007669386	ABCB11	0.883079889100857
X5	17538407	17560212	-	NC_041753.1	XP_028912015	BAAT	1.05681752389665
7	66833833	66837939	-	NC_041734.1	XP_028925814	RPL10A	0.954992601193825
18	28790581	28812651	+	NC_041745.1	XP_001511646	UGDH	2.38781125731912
X5	5617908	5641972	-	NC_041753.1	XP_028910456	TFR2	0.464515275983163
6	19310992	19334451	-	NC_041733.1	XP_028923195	TKTL1	1.29717926580018
8	45545619	45551461	+	NC_041735.1	XP_028926951	RPL15	0.787045794590228
4	6565758	6606145	-	NC_041731.1	XP_028918281	NDRG1	1.21618601951789
14	17318398	17326012	+	NC_041741.1	XP_001511790	LYZ	1.12719744961476
1	183095608	183124405	+	NC_041728.1	XP_028924574	ACTR3	0.737904231648408
17	37353401	37371372	+	NC_041744.1	XP_028937973	CPT2	0.961612292395585
19	15678611	15686466	-	NC_041746.1	XP_001507629	GLO1	0.792501340655628
X3	33671187	33689027	-	NC_041751.1	XP_028909885	LOC100078249	1.04712855818226
7	60364338	60387959	-	NC_041734.1	XP_028924955	ETNK2	0.9638290363931
11	15682757	15686450	+	NC_041738.1	XP_028930559	RPL27	1.48593562494969
X3	1205798	1237445	+	NC_041751.1	XP_028909769	ERP44	0.717794303834727
6	19861509	19868648	-	NC_041733.1	XP_028923025	SSR4	0.762079020351541
11	41238995	41244378	-	NC_041738.1	XP_007670825	RPL13	1.43218787140324
18	28826230	28831285	+	NC_041745.1	XP_028938782	RPL9	0.709577775170597
X4	1982488	1991592	+	NC_041752.1	XP_028910348	HEBP1	1.10662378091267
8	52436744	52445898	-	NC_041735.1	XP_001509733	RPL14	0.734513870259639
5	69094187	69114074	-	NC_041732.1	XP_028921219	H6PD	0.895364768671768
7	42416530	42448459	+	NC_041734.1	XP_028924285	LOC100082873	0.887156017721949
10	56931690	56948122	+	NC_041737.1	XP_028929684	EIF4B	1.02329300765234
5	3363973	3368678	-	NC_041732.1	XP_028920650	RPS16	1.10662376439717
2	18916582	18984360	+	NC_041729.1	XP_028914631	ATP2A2	1.09144034617348
10	52963713	52966650	-	NC_041737.1	XP_028928929	RPL18	1.07894673967628
X1	11582142	11602093	-	NC_041749.1	XP_028905600	LOC100084721	0.289067993211197
1	132469034	132481578	+	NC_041728.1	XP_028922518	PSMD2	0.781627811951013
9	962342	971418	+	NC_041736.1	XP_007667676	LOC100080018	1.24165233126934
X1	106824433	106828659	+	NC_041749.1	XP_003428901	ATP5F1D	1.3520725520856
21	16572926	16575690	-	NC_041748.1	XP_028904449	RPS2	1.05196189202475
X1	86264640	86288533	-	NC_041749.1	XP_028906762	ITIH4	0.944060906958715
13	25366532	25380197	-	NC_041740.1	XP_028933790	PSMC2	0.974989627583982
1	110068406	110110683	-	NC_041728.1	XP_028929988	AADAC	1.0185914060231
10	9092875	9115786	+	NC_041737.1	XP_028929082	HNRNPD	1.19398808741726
X5	221153	227851	+	NC_041753.1	XP_028911479	CCT3	0.903649477435556
14	35327817	35361129	-	NC_041741.1	XP_001509819	LTA4H	0.933254299423323
3	19092427	19142876	-	NC_041730.1	XP_028915451	CTNND1	0.903649475941343
2	49244316	49296855	-	NC_041729.1	XP_028914056	LOC100087236	0.968277843748523
10	43415743	43424991	-	NC_041737.1	XP_007668878	NDUFA5	0.954992578397773
11	4482175	4495067	-	NC_041738.1	XP_028931794	GCSH	0.974989629435977
5	79050015	79098586	+	NC_041732.1	XP_028920707	CDC42	0.950604797984253
20	9365038	9381340	+	NC_041747.1	XP_028903761	ESD	0.60534087833993
5	72581704	72595954	+	NC_041732.1	XP_001507413	RPL22	1.12719744366301
17	956228	971417	-	NC_041744.1	XP_028938102	EIF4H	0.920449583199698
7	29040220	29067782	-	NC_041734.1	XP_028924890	ATIC	1.08143394328541
18	14767482	14777534	-	NC_041745.1	XP_028902482	CCT7	1.02093948500401
7	35987125	36033242	-	NC_041734.1	XP_007666949	LOC100079726	0.89536477002258
1	136586043	136658444	-	NC_041728.1	XP_028931410	SLC2A2	0.79615932994683
9	51758203	51770814	+	NC_041736.1	XP_028928066	RAB1A	0.683911645500174
5	18346786	18366857	-	NC_041732.1	XP_028920744	SQOR	0.434510226399338
2	140207103	140211725	+	NC_041729.1	XP_028911332	LOC114808072	1.16949939223548
X5	3067980	3073486	-	NC_041753.1	XP_028911034	TAGLN2	0.990831927333176
2	11392308	11397413	-	NC_041729.1	XP_028914358	RAN	0.67297664988427
X5	33267552	33326657	+	NC_041753.1	XP_028911275	LOC103164785	0.442588372837815
X1	84733964	84752680	-	NC_041749.1	XP_028907309	APEH	0.645654234067557
X1	107335708	107337485	+	NC_041749.1	XP_001513459	RPS15	1.01624868447425
16	24877267	24907098	+	NC_041743.1	XP_028936044	EIF3A	0.918332584805194
11	61496308	61504574	-	NC_041738.1	XP_028931587	PSMC5	1.05925372990458
3	6523542	6585418	-	NC_041730.1	XP_028917533	SPTBN2	1.11686325127772
X4	775760	788986	+	NC_041752.1	XP_028910194	NDUFA9	0.979489996981411
13	21373030	21430866	+	NC_041740.1	XP_028933446	PTER	0.887156007244104
1	114589005	114602051	-	NC_041728.1	XP_028925739	SSR3	0.803526113173749
2	45503986	45533453	+	NC_041729.1	XP_001506443	RAC1	0.868960431868108
9	16483179	16505380	+	NC_041736.1	XP_028927707	GORASP2	0.974989637060079
6	11261105	11265994	-	NC_041733.1	XP_001511200	TIMM8A	1.22743923134289
7	67947091	67954279	-	NC_041734.1	XP_028925753	RPS10	0.717794295829406
3	14888083	14894253	-	NC_041730.1	XP_028915005	FKBP2	0.977237213864683
12	16737669	16751544	+	NC_041739.1	XP_028932976	PPID	0.866961881124493
6	31318056	31371493	-	NC_041733.1	XP_028923003	FMR1	1.82389566456169
3	120198056	120291290	-	NC_041730.1	XP_028915339	VCL	0.859013511167314
7	41856419	41912120	-	NC_041734.1	XP_028925089	PFKL	0.537031808107403
19	8043628	8088276	+	NC_041746.1	XP_028902954	EPRS1	1.18032064279952
X1	105677644	105700430	+	NC_041749.1	XP_028906644	LONP1	0.959400631362631
X1	90802972	90849093	-	NC_041749.1	XP_028906675	SLC25A20	0.893305468148542
21	24401336	24408500	+	NC_041748.1	XP_028905317	SLC25A1	0.899497594771132
7	56812214	56834385	-	NC_041734.1	XP_028925365	CAPZA1	0.755092235938049
X5	658908	662960	+	NC_041753.1	XP_028910512	FLAD1	1.1015393359178
20	18016777	18079474	+	NC_041747.1	XP_028903712	RDX	1.10153930903622
11	1309557	1339354	+	NC_041738.1	XP_028930650	OGDH	1.07151933154189
10	53518209	53529081	+	NC_041737.1	XP_028930061	AP2A1	0.447713312046249
3	89112076	89126478	-	NC_041730.1	XP_028915817	HNRNPH3	0.916220491830417
13	25402730	25414097	-	NC_041740.1	XP_001507859	PMPCB	0.903649452595178
X2	29559580	29574705	-	NC_041750.1	XP_028908585	LOC100076899	1.1508003831686
16	6224947	6236722	-	NC_041743.1	XP_001515268	SERPINC1	0.859013517551639
16	44642213	44650699	+	NC_041743.1	XP_028936691	NUDC	0.822242642879125
21	22357343	22385769	+	NC_041748.1	XP_028904780	AP1B1	0.879022506019154
X1	106399858	106409258	+	NC_041749.1	XP_028906423	GRIN3B	1.13240034552062
7	71157605	71172948	-	NC_041734.1	XP_028925414	SARS1	1.58124807769852
7	38088356	38151767	-	NC_041734.1	XP_028924860	NDUFA10	0.843334755809101
X5	1460027	1464050	-	NC_041753.1	XP_028911801	LOC114808162	1.03752843129863
20	1426888	1452811	-	NC_041747.1	XP_028903951	MTMR6	1.07894669743449
17	33051725	33065708	+	NC_041744.1	XP_028938177	NIT2	0.770903466210027
13	39217208	39221774	+	NC_041740.1	XP_028933770	PSME1	0.403645393407951
9	499307	515408	+	NC_041736.1	XP_028928390	UBXN4	1.50660706084264
3	84343627	84370528	-	NC_041730.1	XP_028917407	NUDT13	0.903649475823301
5	95213231	95253233	-	NC_041732.1	XP_016083933	NDUFV2	0.963829048091626
5	108814893	108899613	-	NC_041732.1	XP_028921394	PPP2R2A	0.743019138925196
4	102821095	103018643	+	NC_041731.1	XP_028919481	DDAH1	0.452897572822418
X2	628702	642175	+	NC_041750.1	XP_028908840	MSRA	0.638263481473856
19	31120720	31127848	-	NC_041746.1	XP_001506954	COQ3	0.572796041932945
7	58795188	58816778	-	NC_041734.1	XP_028924859	LOC100077627	0.827942151171792
3	87213889	87228354	+	NC_041730.1	XP_007666233	SAR1A	0.721107490463195
9	42367045	42402834	+	NC_041736.1	XP_028927959	SNX5	0.843334760482832
X2	3260289	3276469	+	NC_041750.1	XP_028908456	ETF1	0.83560301000143
12	38640876	38729363	+	NC_041739.1	XP_028932514	PAPSS1	0.642687729408413
X5	7782324	7799548	-	NC_041753.1	XP_028911128	C4A	0.950604784992609
2	6090991	6154690	-	NC_041729.1	XP_028907383	GCN1	1.40281369466509
X5	7918062	7932196	+	NC_041753.1	XP_028911130	VARS1	0.424619555554567
1	130959094	130966431	+	NC_041728.1	XP_028925113	PTMA	0.374110585164252
3	122404753	122475522	-	NC_041730.1	XP_028915134	ABCC2	0.736207083998333
1	51360782	51380177	+	NC_041728.1	XP_028913571	PSMC1	0.629506178671721
16	9751297	9775575	-	NC_041743.1	XP_028936245	STX6	0.89536474631622
11	25116839	25134275	+	NC_041738.1	XP_001507642	DNAJA2	0.916220487421229
4	82313789	82379157	-	NC_041731.1	XP_028918851	STXBP3	0.855066720942383
X5	1260325	1266358	-	NC_041753.1	XP_028911104	SLC27A3	0.833681176299322
1	31740215	31893037	-	NC_041728.1	XP_028915128	SPTB	1.16949938079546
4	93810333	93880189	-	NC_041731.1	XP_028918698	ABCD3	0.95060478722257
1	153622287	153706151	+	NC_041728.1	XP_028917692	GFM1	2.54683025822027
4	7574213	7580413	-	NC_041731.1	XP_028919823	NAPRT	1.15877737569999
14	16593291	16626782	+	NC_041741.1	XP_028934597	CAND1	0.816582383314385
9	37835674	37869907	-	NC_041736.1	XP_028927976	EHD3	0.891250943222896
9	540498	560686	-	NC_041736.1	XP_028928389	MCM6	0.988553090035046
8	20686610	20695013	-	NC_041735.1	XP_007666974	ZGPAT	0.961612269315723
3	17382263	17402631	+	NC_041730.1	XP_028916654	CPSF7	1.54525446288548
11	15481966	15488495	+	NC_041738.1	XP_028932085	COASY	0.807235043007267
18	35447256	35484742	-	NC_041745.1	XP_001513839	ZCCHC4	1.081433938899
1	168185939	168218813	+	NC_041728.1	XP_028927177	PCCB	0.741310244156268
10	58645968	58647103	+	NC_041737.1	XP_028929511	RPS26	1.47570654124518
5	68385941	68409435	+	NC_041732.1	XP_028921253	LZIC	0.79799468540162
4	1681124	1685128	+	NC_041731.1	XP_028917782	RPLP1	0.845278858332019
11	12613521	12617410	-	NC_041738.1	XP_001509789	RPL23	0.731139091733855
20	13697118	13701892	-	NC_041747.1	XP_028903620	RPL31	0.935405663357088
9	46634536	46652473	-	NC_041736.1	XP_007670293	ANKEF1	0.928966378183744
3	61826	124482	-	NC_041730.1	XP_028915646	CPT1A	0.59703528246516
1	90691929	90732085	+	NC_041728.1	XP_028921368	DDX1	1.04712856085942
18	12720999	12775005	-	NC_041745.1	XP_028938849	UBE3A	1.03276139526174
15	3986497	4003233	+	NC_041742.1	XP_028935717	PSMD12	1.02329299913747
X5	22746786	22757631	-	NC_041753.1	XP_028911098	DNAJA1	0.891250942658813
X1	44602668	44652540	+	NC_041749.1	XP_028906901	SEC24A	0.866961893491432
19	8031383	8042132	+	NC_041746.1	XP_007670560	BPNT1	0.657657834474632
14	15406748	15432438	-	NC_041741.1	XP_028935134	GNS	1.23026880037287
3	123633661	123663418	+	NC_041730.1	XP_028914957	PYROXD2	1.15080039202206
X2	9459416	9471552	+	NC_041750.1	XP_028908881	MAN2B1	0.682338708373594
14	43068237	43107632	+	NC_041741.1	XP_028934949	TOM1	0.495450193833533
1	185841008	185875352	-	NC_041728.1	XP_028930180	PDIA5	0.833681185071349
4	32608699	32614987	+	NC_041731.1	XP_028918830	SET	0.986279486187154
4	51022627	51041180	+	NC_041731.1	XP_001506835	CA3	0.765596615083557
8	13797674	13813760	+	NC_041735.1	XP_028926121	STX16	0.714496327538843
7	73474644	73481069	-	NC_041734.1	XP_028925723	EEF1B2	0.885115617494228
7	59056618	59095032	+	NC_041734.1	XP_028924638	ADORA1	0.966050888318991
X5	4232234	4241483	-	NC_041753.1	XP_028910966	NDUFS2	0.981747950278252
21	21955868	21975096	+	NC_041748.1	XP_028905329	LOC114806156	0.95060480321538
20	29423051	29443096	+	NC_041747.1	XP_028904111	NARS2	1.01157944220314
20	310457	363539	-	NC_041747.1	XP_007662276	CRYL1	1.00693169251499
2	6912835	6923838	+	NC_041729.1	XP_001509760	PXMP2	0.557185751654293
9	29440487	29481293	-	NC_041736.1	XP_028927934	LOC100091830	0.778036564745074
5	3402067	3406126	+	NC_041732.1	XP_028920314	TIMM50	0.952796196019564
5	4679906	4685662	-	NC_041732.1	XP_028920252	ETHE1	0.99083196292255
3	52768883	52775543	+	NC_041730.1	XP_028917496	STOML2	0.597035285360123
X5	4311512	4313567	-	NC_041753.1	XP_028910989	NIT1	1.05438688752155
X2	20273655	20297381	-	NC_041750.1	XP_028908895	TXNDC5	0.776247116004248
19	277518	283399	-	NC_041746.1	XP_028903508	PSMB1	1.0592537175603
10	49900250	49920457	+	NC_041737.1	XP_007669299	BPGM	0.941889601988228
14	33900844	33907414	-	NC_041741.1	XP_028935082	UBE2N	0.608134997660279
13	40646532	40650480	+	NC_041740.1	XP_028933870	SRP14	1.08392692560913
10	58607239	58615920	+	NC_041737.1	XP_028928583	RAB5B	0.859013529047445
8	21656905	21664346	+	NC_041735.1	XP_028926543	SRSF6	0.984011115510361
3	6498699	6513066	-	NC_041730.1	XP_028917540	LOC100091023	1.31825670092281
X5	61101573	61118060	+	NC_041753.1	XP_028911438	OSTF1	0.88715600305003
X1	19452604	19465396	-	NC_041749.1	XP_028906188	NPM1	1.00000001953807
21	17851200	17871529	+	NC_041748.1	XP_028905130	DAO	1.22461619257572
21	22130430	22133903	-	NC_041748.1	XP_028905055	LOC100088975	0.885115614001185
20	29488601	29492320	+	NC_041747.1	XP_028903569	LOC114805804	0.77624712974258
11	33409328	33418604	-	NC_041738.1	XP_001520801	NUDT21	0.503500600790013
X2	7597906	7607175	-	NC_041750.1	XP_001517951	PGLS	0.346736850685771
18	2697227	2702442	-	NC_041745.1	XP_028938840	UROD	0.51404364554244
14	52352511	52358829	-	NC_041741.1	XP_028934898	TSPO	0.625172691296762
10	58978315	58984141	-	NC_041737.1	XP_028929867	PTGES3	1.35518943255221
1	180803976	180821367	+	NC_041728.1	XP_028924145	LOC100088885	0.680769363427233
1	10851827	10859536	+	NC_041728.1	XP_028914167	GLRX	0.899497604192983
2	26029075	26045497	+	NC_041729.1	XP_028913552	VKORC1	1.3091819463889
4	36997145	37014843	-	NC_041731.1	XP_001521644	SURF4	0.558470193835225
21	11151643	11162250	+	NC_041748.1	XP_001507021	MPC1	0.462381021750815
16	2941281	2950844	+	NC_041743.1	XP_028937369	MGST3	1.61808004500021
16	3554390	3573429	-	NC_041743.1	XP_028936592	MPC2	1.11429455178413
13	38482506	38495173	-	NC_041740.1	XP_028934269	DAD1	1.02093949465692
X1	105758455	105764468	+	NC_041749.1	XP_028908064	TIMM13	0.899497565284393
X1	117276592	117277785	-	NC_041749.1	XP_028907701	RPS28	0.883079880760481
11	12631229	12670903	+	NC_041738.1	XP_028930640	LASP1	0.957194074253229
10	52437082	52439082	-	NC_041737.1	XP_028928519	RPL28	1.11429454315177
X5	1130938	1142288	+	NC_041753.1	XP_028910646	LOC100074158	0.922571423783078
X1	111437703	111472801	+	NC_041749.1	XP_028906343	TPM4	1.47910839073471
5	2598145	2610817	+	NC_041732.1	XP_028922444	NAPA	0.922571436807508
4	3124438	3131335	+	NC_041731.1	XP_028917804	NDUFB9	0.939723314039719
4	46000033	46005506	-	NC_041731.1	XP_001516146	RPL35	0.903649471489949
2	19063237	19071123	-	NC_041729.1	XP_028914660	VPS29	0.254097270363675
X1	40145706	40152605	-	NC_041749.1	XP_028905657	LOC100080559	1.28528668295511
5	37523935	37542929	+	NC_041732.1	XP_028921346	ERLIN2	0.597035293494029
19	26672761	26703131	+	NC_041746.1	XP_028903083	NT5E	0.801678062706758
1	54549662	54558412	-	NC_041728.1	XP_028932502	LOC100085004	0.737904242151747
9	31561308	31600059	-	NC_041736.1	XP_007654030	APOB	0.656145270592905
5	276453	288811	+	NC_041732.1	XP_028921200	LOC100089037	1.0471285541377
21	16421930	16424617	-	NC_041748.1	XP_028904938	NME3	1.531087496701
11	1299812	1303393	-	NC_041738.1	XP_028931976	TMED4	1.2882495712106
7	56778553	56786250	+	NC_041734.1	XP_028924218	RHOC	0.801678073769406
1	130061247	130068605	+	NC_041728.1	XP_001509140	RPL35A	0.864967920184831
X1	106533322	106537347	+	NC_041749.1	XP_028908081	GPX4	0.835603011946803
11	32858389	32879130	-	NC_041738.1	XP_001510325	LOC100079348	1.54525444414655
20	3420389	3441004	-	NC_041747.1	XP_028903586	HSPH1	1.36144468071478
1	39011709	39051799	-	NC_041728.1	XP_028921174	TMED10	1.1271974575788
16	10621586	10653521	+	NC_041743.1	XP_028937371	DHX9	1.08392689173831
7	21926660	21936416	-	NC_041734.1	XP_028925305	LOC107547923	0.946237166137771
10	53129792	53133148	-	NC_041737.1	XP_001507007	RPL13A	1.29717925329562
8	38010541	38058838	+	NC_041735.1	XP_016082627	SACM1L	0.845278829417432
15	3545220	3551480	-	NC_041742.1	XP_001510775	DDX5	0.963829039241939
1	144718366	144732220	+	NC_041728.1	XP_028915616	NDUFB5	0.993116039448598
5	3439716	3441103	+	NC_041732.1	XP_028920209	LOC114811991	1.13762728578105
10	58549386	58553758	-	NC_041737.1	XP_028929655	PYM1	0.682338683983719
10	39436353	39479641	+	NC_041737.1	NP_001229662	CAPZA2	0.566239283790802
3	51941339	51953367	+	NC_041730.1	XP_028917432	HINT2	1.04954244424068
